File_name,Fish_ID,Common_Name,Species_Code,Family,Genus,Species,Date,Source_River,Imaging_Latitude,Imaging_Longitude,Fork_Length,Girth,Weight,Personnel,Comments,
CVR-1418.6.1556-US41602-Color-10-9,9,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,620,415,3.25,"BA, BB, CW, SM",Callibration  Fish,
CVR-1418.6.1556-US41602-Color-10-10,10,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,470,265,1.06,"BA, BB, CW, SM",Callibration  Fish,
CVR-1418.6.1556-US41602-Color-10-11,11,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,410,250,0.72,"BA, BB, CW, SM",Callibration  Fish,
CVR-1418.6.1556-US41602-Color-10-12,12,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,543,330,3.46,"BA, BB, CW, SM",Callibration  Fish,
CVR-1418.6.1556-US41602-Color-10-17,17,measuring stick,calibrate,NA,NA,NA,1-Apr-19,Tittabawassee,43.57,-84.195,NA,NA,NA,"BA, BB, CW, SM",Measuring stick for calibration,
CVR-1418.6.1556-US41602-Color-10-18,18,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,515,325,1.74,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-19,19,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,502,325,1.66,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-20,20,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,461,280,1.24,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-21,21,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,542,340,1.92,"BA, BB, CW, SM",,
CVR-1418.6.1556-US41602-Color-10-22,22,walleye,WYE,Percidae,Sander,vitreus,1-Apr-19,Tittabawassee,43.57,-84.195,394,195,0.64,"BA, BB, CW, SM",,
